player,debut,last_game,pos,teams,nickname,lastname,firstname
Curtis Brown,1947,1947,First baseman,New York Black Yankees ,NA,Brown,Curtis
Dave Brown,1917,1925,Pitcher,"
Chicago American Giants, Bacharach Giants, Cuban League, New York Lincoln Giants
",NA,Brown,Dave
Earl Brown,1924,1924,Pitcher,Lincoln Giants,NA,Brown,Earl
Elias  Brown,1918,1933,Outfielder,"
Bacharach Giants, Hilldale Club, Lincoln Giants, Brooklyn Royal Giants, Washington Potomacs, Wilmington Potomacs
","""Country""",Brown,Elias
Elmer Brown,1921,1921,Third baseman,Indianapolis ABCs,NA,Brown,Elmer
George Brown,1925,1927,Pitcher,"
St. Louis Stars, Kansas City Monarchs
",NA,Brown,George
George  Brown,1942,1942,Outfielder,Cincinnati Buckeyes,"""Tanna""",Brown,George
George W. Brown,1909,1921,Outfielder,"
West Baden Sprudels, Indianapolis ABCs, St. Louis Giants, Dayton Marcos, Columbus Buckeyes, Cleveland Tate Stars, Detroit Stars
",NA,Brown,George
Ike Brown,19__,19__,,Kansas City Monarchs,NA,Brown,Ike
James Brown,1939,1947,"
Outfielder / Pitcher
","
Newark Eagles, Indianapolis–Cincinnati Clowns
",NA,Brown,James
James R. Brown,1919,1946,Catcher,Chicago American Giants,NA,Brown,James
Jesse Brown,1938,1944,Pitcher,"
Newark Eagles, New York Black Yankees, Baltimore Elite Giants
",NA,Brown,Jesse
Larry Brown,1919,1938,"
Catcher / Manager
","
Birmingham Black Barons, Indianapolis ABCs, Pittsburgh Keystones, Memphis Red Sox, Detroit Stars, Chicago American Giants, New York Lincoln Giants, New York Black Yankees, Philadelphia Stars
",NA,Brown,Larry
Malcolm  Brown,1920,1930,Shortstop,"
Hilldale Club, Baltimore Black Sox, Harrisburg Giants, Homestead Grays, Bacharach Giants, Brooklyn Royal Giants
","""Scrappy""",Brown,Malcolm
Maywood Brown,1917,1925,Pitcher,"
Brooklyn Royal Giants, Indianapolis ABCs
",NA,Brown,Maywood
Mike Brown,1905,1914,Outfielder,"
Brooklyn Royal Giants, Cuban Giants, Schenectady Mohawk Giants, Philadelphia Giants, Lincoln Stars
",NA,Brown,Mike
Ray Brown,1930,1948,Pitcher,"
Dayton Marcos, Indianapolis ABC's, Detroit Wolves, Homestead Grays
",NA,Brown,Ray
Thomas Jefferson Brown,1939,1950,Shortstop,"
Memphis Red Sox, Chicago American Giants, Indianapolis Clowns
",NA,Brown,Thomas Jefferson
Ulysses Brown,1937,1942,Catcher,"
Newark Eagles, Chicago American Giants, Cincinnati Clowns
",NA,Brown,Ulysses
Willard Brown,1936,1950,Outfielder,Kansas City Monarchs,NA,Brown,Willard
Clarence Bruce,1947,1948,Second baseman,Homestead Grays,NA,Bruce,Clarence
Lloyd Bruce,1940,1940,Pitcher,Chicago American Giants,NA,Bruce,Lloyd
Jack Bruton,1937,1941,Pitcher,"
Birmingham Black Barons, Philadelphia Stars, Cleveland Bears, New Orleans–St. Louis Stars
",NA,Bruton,Jack
Allen Bryant,1937,1946,Pitcher,"
Memphis Red Sox, Kansas City Monarchs
",NA,Bryant,Allen
Chester Buchanan,1935,1944,Pitcher,"
Philadelphia Stars, Bacharach Giants
",NA,Buchanan,Chester
Harry Buckner,1896,1918,"
Pitcher / Outfielder
","
Chicago Unions, Columbia Giants, Philadelphia Giants, Cuban X-Giants, Brooklyn Royal Giants, New York Lincoln Giants, Chicago Giants
",NA,Buckner,Harry
James Buford,1929,1933,Second baseman,"
Cleveland Cubs, Nashville Elite Giants, Indianapolis ABCs
",NA,Buford,James
Earl Bumpus,1944,1948,Pitcher,"
Birmingham Black Barons, Kansas City Monarchs, Chicago American Giants
",NA,Bumpus,Earl
Buddy Burbage,1928,1943,Outfielder,"Ewing's All-stars, Baltimore Black Sox, Hilldale Club, Pittsburgh Crawfords, Baltimore Black Sox, Bacharach Giants, Newark Dodgers, Homestead Grays, Washington Black Senators, Philadelphia Stars, Brooklyn Royal Giants, New York Black Yankees
",NA,Burbage,Buddy
Walter Burch,1931,1946,"
Catcher / Manager
","
Atlantic City Bacharach Giants, Newark Dodgers, Chicago American Giants, St. Louis Stars, Cleveland Buckeyes, among several others",NA,Burch,Walter
Louis Burgee,1917,1921,Outfielder,Hilldale Club,NA,Burgee,Louis
Ralph Burgin,1930,1940,Third baseman,"
Baltimore Black Sox, Philadelphia Hilldale Giants, Atlantic City Bacharach Giants, New York Black Yankees, Pittsburgh Crawfords, Philadelphia Stars, Brooklyn Royal Giants
",NA,Burgin,Ralph
Ernest Burke,1946,1949,"
Pitcher / Outfielder
",Baltimore Elite Giants,NA,Burke,Ernest
Joe Burke,1937,1937,Outfielder,"
Indianapolis Athletics, St. Louis Stars
",NA,Burke,Joe
Tex Burnett,1922,1941,Catcher,"
Pittsburgh Keystones, Indianapolis ABCs, Lincoln Giants, Bacharach Giants, Brooklyn Royal Giants, Homestead Grays, New York Black Yankees, Baltimore Black Sox, Brooklyn Eagles, Newark Eagles
",NA,Burnett,Tex
Willie Burnham,1930,1934,Pitcher,Monroe Monarchs,NA,Burnham,Willie
Peter Burns,1890,1900,Catcher,"
Chicago Unions, Columbia Giants
",NA,Burns,Peter
Willie Burns,1935,1945,Pitcher,"
Newark Dodgers, Newark Eagles, Chicago American Giants, Baltimore Elite Giants, Philadelphia Stars, Indianapolis Clowns, New York Cubans, New York Black Yankees
",NA,Burns,Willie
Maurice Busby,1921,1922,Pitcher,"
Bacharach Giants, All Cubans, Baltimore Black Sox
",NA,Busby,Maurice
Luis Bustamante,1904,1913,Shortstop,"
Cuban X-Giants, All Cubans, Brooklyn Royal Giants, Cuban Stars (West)
",NA,Bustamante,Luis
Ed Butler,1943,1945,Shortstop,"
Newark Eagles, Homestead Grays
",NA,Butler,Ed
Frank Butler,1894,1895,"
Pitcher / Outfielder
",Chicago Union Giants,NA,Butler,Frank
Pee Wee Butts,1938,1950,Shortstop,"
Atlanta Black Crackers, Indianapolis ABC's, Baltimore Elite Giants, Birmingham Black Barons, Memphis Red Sox
",NA,Butts,Pee Wee
Subby Byas,1932,1942,Catcher,"
Chicago American Giants, Memphis Red Sox
",NA,Byas,Subby
Bill Byrd,1932,1950,Pitcher,"
Columbus Blue Birds, Nashville Elite Giants, Cleveland Red Sox, Homestead Grays, Columbus Elite Giants, Washington Elite Giants, Baltimore Elite Giants
",NA,Byrd,Bill
Lorenzo Cabrera,1947,1948,First baseman,New York Cubans,NA,Cabrera,Lorenzo
Joe Caffie,1950,1950,Catcher,Cleveland Buckeyes,NA,Caffie,Joe
Marion Cain,1937,1940,Pitcher,"
Pittsburgh Crawfords and Brooklyn Royal Giants
",NA,Cain,Marion
Evelio Calderín,1917,1924,Pitcher,Cuban Stars,NA,Calderín,Evelio
Benito Calderón,1926,1928,Catcher,"
Cuban Stars (West), Homestead Grays
",NA,Calderón,Benito
Walter  Calhoun,1932,1946,Pitcher,"
Montgomery Grey Sox, Memphis Red Sox, Indianapolis ABCs, St. Louis Stars, New Orleans–St. Louis Stars, Philadelphia Stars, New York Black Yankees, Harrisburg Stars, Indianapolis Clowns
","""Lefty""",Calhoun,Walter
Jack Calvo,1915,1915,Outfielder,Long Branch Cubans,NA,Calvo,Jack
Roy Campanella,1937,1945,Catcher,Baltimore Elite Giants,NA,Campanella,Roy
Andrew Campbell,1903,1910,Catcher,"
Chicago Union Giants, Minneapolis Keystones, Illinois Giants, Kansas City Royal Giants",NA,Campbell,Andrew
David Campbell,1938,1942,Second baseman,"
New York Black Yankees, Philadelphia Stars
",NA,Campbell,David
Emmet Campbell,1918,1922,First baseman,"
Homestead Grays, Pittsburgh Keystones
",NA,Campbell,Emmet
William H.  Campbell,1923,1929,Pitcher,"
Washington Potomacs, Hilldale Club, Lincoln Giants
","""Bullet""",Campbell,William
Joe Campini,1948,1948,Catcher,Baltimore Elite Giants,NA,Campini,Joe
Tatica Campos,1921,1922,Pitcher,Cuban Stars (East),NA,Campos,Tatica
Jim Canada,1937,1945,First baseman,"
Birmingham Black Barons, Atlanta Black Crackers, Jacksonville Red Caps, Memphis Red Sox
",NA,Canada,Jim
Avelino Cañizares,1945,1945,Shortstop,Cleveland Buckeyes,NA,Cañizares,Avelino
Jesse Cannady,1942,1945,,"
Chicago American Giants, Indianapolis Clowns, Homestead Grays, New York Cubans
",NA,Cannady,Jesse
Rev Cannady,1921,1945,"
Infielder / Pitcher
","
Homestead Grays, Harrisburg Giants, New York Lincoln Giants, Hilldale Daisies, Pittsburgh Crawfords, New York Black Yankees, Cincinnati-Indianapolis Clowns, among several others",NA,Cannady,Rev
Richard  Cannon,1928,1932,Pitcher,"
St. Louis Stars, Cleveland Cubs, Nashville Elite Giants, Louisville Black Caps, Birmingham Black Barons
","""Speedball""",Cannon,Richard
Francisco Cárdenas,1924,1927,Catcher,Cuban Stars (East),NA,Cárdenas,Francisco
Lick Carlisle,1931,1948,Second baseman,"
Homestead Grays, Birmingham Black Barons
",NA,Carlisle,Lick
George Carr,1920,1934,"
Firstbaseman / Outfielder
","
Kansas City Monarchs, Hilldale Club, New York Lincoln Giants, Atlantic City Bacharach Giants, Philadelphia Stars
",NA,Carr,George
Wayne Carr,1920,1928,Pitcher,"
St. Louis Giants, Brooklyn Royal Giants, Indianapolis ABCs, Baltimore Black Sox, Washington Potomacs, Bacharach Giants, Wilmington Potomacs, Newark Stars, Lincoln  Giants
",NA,Carr,Wayne
Clemente Carrera,1937,1941,Infielder,"
Cuban Stars (East), New York Cubans
",NA,Carrera,Clemente
Bernardo Carrillo,1899,1907,Infielder,"
Cuban Stars (West), All Cubans
",NA,Carrillo,Bernardo
Frank Carswell,1945,1948,Pitcher,Cleveland Buckeyes,NA,Carswell,Frank
Charles  Carter,1903,1906,Pitcher,"
Philadelphia Giants, Brooklyn Royal Giants
","""Kid""",Carter,Charles
Cliff Carter,1923,1933,Pitcher,"
Baltimore Black Sox, Bacharach Giants, Harrisburg Giants, Philadelphia Tigers, Hilldale Club, Philadelphia Stars
",NA,Carter,Cliff
Elmer  Carter,1930,1938,"
Outfielder / Infielder
","
Kansas City Monarchs, Birmingham Black Barons, Little Rock Grays, St. Louis Stars
","""Willie""",Carter,Elmer
Ernest  Carter,1932,1948,Pitcher,"
Memphis Red Sox, Birmingham Black Barons, Pittsburgh Crawfords, Philadelphia Stars, Newark Eagles, Homestead Grays
","""Spoon""",Carter,Ernest
Jim Carter,1948,1948,Pitcher,Newark Eagles,NA,Carter,Jim
Marlin Carter,1932,1948,Infielder,"
Monroe Monarchs, Memphis Red Sox, Cincinnati Tigers, Chicago American Giants
",NA,Carter,Marlin
Paul Carter,1931,1936,Pitcher,"
Hilldale Club, Baltimore Black Sox, Philadelphia Stars, New York Black Yankees
",NA,Carter,Paul
Paul Casanova,1961,1961,Catcher,Indianapolis Clowns,NA,Casanova,Paul
Joe Casey,1920,1921,Pitcher,"
St. Louis Stars, Cleveland Tate Stars
",NA,Casey,Joe
Mickey Casey,1930,1942,Catcher,"
Brooklyn Royal Giants, Baltimore Black Sox, Philadelphia Stars, Washington Black Senators, Newark Eagles, Pittsburgh Crawfords, New York Cubans, Baltimore Elite Giants
",NA,Casey,Mickey
Bill Cash,1943,1950,Catcher,Philadelphia Stars,NA,Cash,Bill
John Cason,1918,1928,Catcher,"
Brooklyn Royal Giants, Hilldale Club, Birmingham Black Barons, Bacharach Giants, Lincoln Giants
",NA,Cason,John
Irvin Castille,1951,1952,"
Shortstop / Third baseman
",Birmingham Black Barons,NA,Castille,Irvin
Julián Castillo,1911,1911,First baseman,"
Cuban Stars (West), All Cubans
",NA,Castillo,Julián
Pelayo Chacón,1908,1931,Shortstop,"
Club Fe, Almendares, Azul, Habana, Cuban Stars (West), Hilldale Club, Cuban Stars (East), Gilkerson's Union Giants, Cuban House of David
",NA,Chacón,Pelayo
Arthur  Chambers,1925,1927,Pitcher,"
Washington Potomacs, Lincoln Giants
","""Rube""",Chambers,Arthur
Harry Chappas,19__,19__,Shortstop,Indianapolis Clowns,NA,Chappas,Harry
Oscar Charleston,1915,1945,"
Center fielder / Manager
","
Indianapolis ABCs, Harrisburg Giants, Hilldale Club, Homestead Grays, Pittsburgh Crawfords, among several others",NA,Charleston,Oscar
Porter Charleston,1927,1935,Pitcher,"
Hilldale Club, Baltimore Black Sox, Philadelphia Stars
",NA,Charleston,Porter
Red Charleston,1920,1932,Catcher,"
Birmingham Black Barons, Montgomery Grey Sox, Memphis Red Sox, Nashville Elite Giants
",NA,Charleston,Red
Lou Chirban,1950,19__,,Chicago American Giants,NA,Chirban,Lou
Eli Chism,1946,1947,Outfielder,"
Cleveland Buckeyes, Birmingham Black Barons
",NA,Chism,Eli
John Chisum,1937,1937,Third baseman,St. Louis Stars,NA,Chisum,John
Thad Christopher,1935,1945,Outfielder,"
New York Black Yankees, Newark Eagles, Cleveland Buckeyes, Homestead Grays, Baltimore Elite Giants
",NA,Christopher,Thad
Lou Clarizio,1950,19__,,Chicago American Giants,NA,Clarizio,Lou
Cleveland Clark,1945,1948,,New York Cubans,NA,Clark,Cleveland
Dell Clark,1921,1921,Infielder,"
St. Louis Giants, Pittsburgh Keystones
",NA,Clark,Dell
Morten Clark,1908,1923,Shortstop,"
Birmingham Giants, West Baden Sprudels, Philadelphia Giants, Schenectady Mohawk Giants, Brooklyn Royal Giants, New York Lincoln Stars, Indianapolis ABCs, Lincoln Giants, Washington Potomacs, Baltimore Black Sox
",NA,Clark,Morten
Bob Clarke,1922,1948,"
Catcher / Manager
","
Richmond Giants, Baltimore Black Sox, New York Black Yankees, Baltimore Elite Giants
",NA,Clarke,Bob
Calvin Clarke,1938,1941,Outfielder,"
Washington Black Senators, Newark Eagles
",NA,Clarke,Calvin
Webbo Clarke,1946,1950,Pitcher,"
Cleveland Buckeyes, Memphis Red Sox
",NA,Clarke,Webbo
Buster Clarkson,1937,1950,"
Shortstop / Third baseman
","
Pittsburgh Crawfords, Newark Eagles, Philadelphia Stars
",NA,Clarkson,Buster
Zack Clayton,1932,1945,First baseman,"
Philadelphia Bacharach Giants, Chicago American Giants, New York Black Yankees, Baltimore Elite Giants
",NA,Clayton,Zack
Duke Cleveland,1938,1947,Outfielder,"
Jacksonville Red Caps, Cleveland Bears, Cleveland Buckeyes, Indianapolis Clowns
",NA,Cleveland,Duke
Nathaniel Clifton,1949,1949,First baseman,Chicago American Giants,NA,Clifton,Nathaniel
Lorenza Cobb,1914,1920,Catcher,"
Indianapolis ABCs, West Baden Sprudels, St. Louis Giants, Lincoln Giants
",NA,Cobb,Lorenza
Phil Cockrell,1917,1934,"
Pitcher / Outfielder
","
New York Lincoln Giants, Hilldale Daisies, Atlantic City Bacharach Giants, Philadelphia Stars
",NA,Cockrell,Phil
Jim Cohen,1946,1952,Pitcher,Indianapolis Clowns,NA,Cohen,Jim
Pancho Coimbre,1940,1946,Outfielder,New York Cubans,NA,Coimbre,Pancho
Carlos Colás,1940,1952,Catcher,"
New York Cubans, Memphis Red Sox
",NA,Colás,Carlos
José Colás,1947,1951,Outfielder,Memphis Red Sox,NA,Colás,José
Archie Cole,1923,1924,Pitcher,"
Toledo Tigers, Kansas City Monarchs, Detroit Stars
",NA,Cole,Archie
Cecil Cole,1946,1946,Pitcher,Newark Eagles,NA,Cole,Cecil
Arthur Coleman,1919,1921,"
Outfielder / Pitcher
","
Jewell's ABCs, Dayton Marcos, Columbus Buckeyes
",NA,Coleman,Arthur
Clarence Coleman,1914,1928,Catcher,"
Chicago Union Giants, All Nations, Chicago Union Giants, Cleveland Tate Stars, Gilkerson's Union Giants, among several others",NA,Coleman,Clarence
Gilbert Coleman,1929,1932,Outfielder,"
Bacharach Giants, Newark Browns
",NA,Coleman,Gilbert
Ralph Coles,1939,1941,Outfielder,Cleveland Bears/Jacksonville Red Caps,NA,Coles,Ralph
Atkins Collins,1932,1932,Pitcher,Baltimore Black Sox,NA,Collins,Atkins
Gene Collins,1947,1948,Pitcher,Kansas City Monarchs,NA,Collins,Gene
George Collins,1923,1925,"
Right fielder / Shortstop
","
Milwaukee Bears, Indianapolis ABCs
",NA,Collins,George
Alex Colthirst,1948,1948,Shortstop,Indianapolis Clowns,NA,Colthirst,Alex
Jim Colzie,1946,1952,Pitcher,"
Indianapolis Clowns, Atlanta Black Crackers
",NA,Colzie,Jim
Jack Combs,1923,1926,Pitcher,Detroit Stars,NA,Combs,Jack
Jimmy Cooke,1932,1932,Pitcher,Baltimore Black Sox,NA,Cooke,Jimmy
Alfred  Cooper,1928,1932,Pitcher,"
Kansas City Monarchs, Cleveland Stars
","""Army""",Cooper,Alfred
Andy Cooper,1920,1940,Pitcher,"
Detroit Stars, Kansas City Monarchs
",NA,Cooper,Andy
Anthony Cooper,1928,1941,Shortstop,"
Birmingham Black Barons, Louisville White Sox, Cleveland Stars, Homestead Grays, Pittsburgh Crawfords, Baltimore Black Sox, Cleveland Red Sox, Newark Dodgers, New York Black Yankees
",NA,Cooper,Anthony
Bill Cooper,1937,1946,Catcher,"
Atlanta Black Crackers, Indianapolis ABCs, Philadelphia Stars, New York Black Yankees
",NA,Cooper,Bill
Darltie Cooper,1923,1940,Pitcher,"
Indianapolis ABCs, Harrisburg Giants, Hilldale Club, Homestead Grays, Baltimore Black Sox, Washington Pilots, Philadelphia Bacharach Giants, Newark Eagles
",NA,Cooper,Darltie
Herbert  Cooper,1913,1918,First baseman,"
Cuban Giants, Louisville White Sox, Schenectady Mohawk Giants, Chicago American Giants, Lincoln Stars, Philadelphia Giants, Lincoln Giants
","""Champ""",Cooper,Herbert
Sam Cooper,1923,1929,Pitcher,"
Baltimore Black Sox, Harrisburg Giants, Bacharach Giants
",NA,Cooper,Sam
Tom Cooper,1947,1950,Catcher,Kansas City Monarchs,NA,Cooper,Tom
Charles Corbett,1921,1927,Pitcher,"
Pittsburgh Keystones, Indianapolis ABCs, Harrisburg Giants, Hilldale Club
",NA,Corbett,Charles
Sug Cornelius,1928,1946,Pitcher,"
Nashville Elite Giants, Memphis Red Sox, Birmingham Black Barons, Cole's American Giants, Chicago American Giants, Cincinnati Buckeyes
",NA,Cornelius,Sug
Cuco Correa,1926,1936,Shortstop,"
Cuban Stars (West), Cuban Stars (East), New York Cubans
",NA,Correa,Cuco
Aurelio Cortés,1928,1935,Catcher,"
Cuban Stars (West), Cuban Stars (East)
",NA,Cortés,Aurelio
Johnnie Cowan,1934,1948,Infielder,"
Birmingham Black Barons, Cleveland Buckeyes, Memphis Red Sox
",NA,Cowan,Johnnie
Comer Cox,1930,1931,Outfielder,"
Nashville Elite Giants, Cleveland Cubs
",NA,Cox,Comer
James Cox,1947,1947,Pitcher,Newark Eagles,NA,Cox,James
Roosevelt Cox,1937,1943,Third baseman,"
Detroit Stars, Chicago American Giants, Kansas City Monarchs, New York Cubans, New York Black Yankees
",NA,Cox,Roosevelt
Harry Cozart,1939,1944,Pitcher,Newark Eagles,NA,Cozart,Harry
William Craddock,1929,1929,Outfielder,"
Baltimore Black Sox, Bacharach Giants
",NA,Craddock,William
Joe Craig,1945,1946,Outfielder,Philadelphia Stars,NA,Craig,Joe
Hubert Crawford,1932,1936,Infielder,"
Bacharach Giants, Newark Eagles
",NA,Crawford,Hubert
Sam Crawford,1910,1938,"
Pitcher / Manager
","
Chicago Union Giants, Chicago American Giants, Kansas City Monarchs, Birmingham Black Barons, among several others",NA,Crawford,Sam
Dewey Creacy,1924,1938,Third baseman,"
St. Louis Stars, Washington Pilots, Detroit Wolves, Columbus Blue Birds, Cleveland Giants, Philadelphia Stars
",NA,Creacy,Dewey
Rogelio Crespo,1926,1927,Second baseman,Cuban Stars (East),NA,Crespo,Rogelio
Frank Crockett,1916,1923,Outfielder,"
Bacharach Giants, Brooklyn Royal Giants
",NA,Crockett,Frank
Sam Crow,1912,1916,Infielder,"
All Nations, French Lick Plutos
",NA,Crow,Sam
George Crowe,1948,1948,First baseman,New York Black Yankees,NA,Crowe,George
Martin Crue,1942,1948,Pitcher,"
New York Cubans, New York Black Yankees
",NA,Crue,Martin
Alex Crumbley,1937,1938,Outfielder,"
New York Black Yankees, Washington Black Senators, Pittsburgh Crawfords, Atlanta Black Crackers
",NA,Crumbley,Alex
Jimmie Crutchfield,1930,1941,Outfielder,"
Birmingham Black Barons, Indianapolis ABCs, Pittsburgh Crawfords, Newark Eagles, Chicago American Giants
",NA,Crutchfield,Jimmie
Charlie Culver,1916,1920,Infielder,"
Lincoln Stars, Pennsylvania Red Caps of New York, Lincoln Giants
",NA,Culver,Charlie
Chance Cummings,1916,1928,First baseman,"
Bacharach Giants, Hilldale Club
",NA,Cummings,Chance
Harry Cunningham,1930,1937,Pitcher,Memphis Red Sox,NA,Cunningham,Harry
Herman Cunningham,1920,1931,Shortstop,Montgomery Grey Sox,NA,Cunningham,Herman
John Cunningham,1912,1920,Shortstop,"
French Lick Plutos, St. Louis Giants, Dayton Marcos
",NA,Cunningham,John
Marion Cunningham,1921,1925,First baseman,"
Montgomery Grey Sox, Memphis Red Sox
",NA,Cunningham,Marion
Vernon Cunningham,1933,1933,Outfielder,"Pollock's Cuban Stars, Baltimore Black Sox
",NA,Cunningham,Vernon
Rube Currie,1919,1932,"
Pitcher / Manager
","
Chicago Union Giants, Kansas City Monarchs, Hilldale Club, Chicago American Giants, Detroit Stars, Baltimore Black Sox
",NA,Currie,Rube
Goose Curry,1928,1947,"
Outfielder / Manager
","
Cleveland Tigers, Memphis Red Sox, Nashville Elite Giants, Washington Elite Giants, Indianapolis Athletics, Kansas City Monarchs, New York Black Yankees, Baltimore Elite Giants, Philadelphia Stars
",NA,Curry,Goose
Eggie Dallard,1921,1933,First baseman,"
Hilldale Club, Washington Potomacs, Baltimore Black Sox, Bacharach Giants, Philadelphia Stars
",NA,Dallard,Eggie
Porter Dallas,1929,1932,Third baseman,"
Birmingham Black Barons, Monroe Monarchs
",NA,Dallas,Porter
Lunie Danage,1920,1920,Second baseman,St. Louis Giants,NA,Danage,Lunie
Ray Dandridge,1933,1949,Third baseman,"
Detroit Stars, Nashville Elite Giants, Newark Dodgers, Newark Eagles, Mexican League, New York Cubans
",NA,Dandridge,Ray
George Dandy,1912,1917,Pitcher,"
Chicago American Giants, West Baden Sprudels, Lincoln Giants
",NA,Dandy,George
Fred Daniels,1919,1925,Pitcher,"
St. Louis Giants, Dallas Black Giants, Birmingham Black Barons
",NA,Daniels,Fred
Leon  Daniels,1921,1935,Catcher,"
Detroit Stars, Harrisburg Giants, Chicago American Giants, Atlantic City Bacharach Giants, Brooklyn Eagles
","""Pepper""",Daniels,Leon
Lloyd Davenport,1934,1945,Outfielder,"
New Orleans Crescent Stars, Philadelphia Stars, Cincinnati Tigers, Memphis Red Sox, Birmingham Black Barons, Chicago American Giants, Cleveland Buckeyes
",NA,Davenport,Lloyd
Charley Davidson,1940,1948,Pitcher,"
Baltimore Elite Giants, New York Black Yankees
",NA,Davidson,Charley
Albert Davis,1927,1937,Pitcher,"
Detroit Stars, Baltimore Black Sox
",NA,Davis,Albert
Charlie Davis,1950,1955,Pitcher,Memphis Red Sox,NA,Davis,Charlie
Clarence  Davis,1921,1922,Third baseman,"
Columbus Buckeyes, Bacharach Giants
","""Preacher""",Davis,Clarence
